Rank,Release Group,Worldwide,Domestic,%,Foreign,%
74,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
75,Becky,"$1,021,610","$1,003,700",98.2%,"$17,910",1.8%
76,The Tax Collector,"$942,666","$942,666",100%,-,-
77,Riverdance 25th Anniversary Show,"$919,732","$81,879",8.9%,"$837,853",91.1%
78,Mafia Inc,"$889,863","$889,863",100%,-,-
79,Misbehaviour,"$801,131",-,-,"$801,131",100%
80,Jaws 2020 Re-release,"$758,367","$758,300",100%,$67,<0.1%
81,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
82,Cut Throat City,"$655,321","$654,783",99.9%,$538,<0.1%
83,Black Water: Abyss,"$622,706",-,-,"$622,706",100%
84,Babyteeth,"$621,902","$4,507",0.7%,"$617,395",99.3%
85,Ghostbusters 2020 Re-release,"$620,883","$605,000",97.4%,"$15,883",2.6%
86,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
87,Beauty and the Beast 2020 Re-release,"$543,260","$467,000",86%,"$76,260",14%
88,Followed,"$538,179","$538,179",100%,-,-
89,Once Were Brothers: Robbie Robertson and the Band,"$534,292","$449,561",84.1%,"$84,731",15.9%
90,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
91,Hope Gap,"$500,856","$104,732",20.9%,"$396,124",79.1%
92,The Burnt Orange Heresy,"$496,347","$141,991",28.6%,"$354,356",71.4%
93,Palm Springs,"$493,347","$164,000",33.2%,"$329,347",66.8%
94,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
95,Black Panther 2020 Re-release,"$461,901","$367,000",79.5%,"$94,901",20.5%
96,Inside Out 2020 Re-release,"$460,176","$460,000",100%,$176,<0.1%
97,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
98,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
99,Infamous,"$429,148","$429,148",100%,-,-
100,The Climb,"$413,161",-,-,"$413,161",100%
